election_date,county,precinct,ballots_cast,precinct_name,registered_total,reg_age_18_25,reg_age_26_40,reg_age_41_65,reg_age_over_66,top_dem_votes,top_rep_votes,nc_house_district,turnout_pct,dem_share_top
2020-11-03,CASWELL,ANDE,704,ANDERSON,850,87,157,399,207,177,517,50,82.82,25.5
2020-11-03,CASWELL,LEAS,537,LEASBURG,660,73,122,264,201,240,283,50,81.36,45.89
2020-11-03,CASWELL,LOCU,1573,LOCUST HILL,1960,211,365,872,512,841,716,50,80.26,54.01
2020-11-03,CASWELL,MILT,1573,MILTON,2023,226,338,859,600,870,680,50,77.76,56.13
2020-11-03,CASWELL,PELH,2252,PELHAM,2964,304,505,1269,886,659,1573,50,75.98,29.53
2020-11-03,CASWELL,PH,1470,PROSPECT HILL,1793,167,336,772,518,503,947,50,81.99,34.69
2020-11-03,CASWELL,PROVI,659,PROVIDENCE,822,75,136,346,265,221,432,50,80.17,33.84
2020-11-03,CASWELL,STON,1759,STONEY CREEK,2233,254,461,996,522,527,1215,50,78.77,30.25
2020-11-03,CASWELL,YANC,1578,YANCEYVILLE,2210,225,445,885,655,822,726,50,71.4,53.1
2020-11-03,ORANGE,CA,953,CARR,1152,120,269,522,241,407,519,50,82.73,43.95
2020-11-03,ORANGE,CB,1376,CARRBORO,1758,204,680,632,242,1236,115,56,78.27,91.49
2020-11-03,ORANGE,CF1,3817,CEDAR FALLS,5056,912,1552,1809,783,3156,581,56,75.49,84.45
2020-11-03,ORANGE,CG,1402,CEDAR GROVE,1670,187,330,771,382,687,694,50,83.95,49.75
2020-11-03,ORANGE,CH,1148,COKER HILLS,1409,220,340,555,294,1030,98,56,81.48,91.31
2020-11-03,ORANGE,CO,2118,COLONIAL HEIGHTS,2969,700,859,945,465,1837,244,56,71.34,88.27
2020-11-03,ORANGE,CP,2493,CAMERON PARK,2882,344,541,1404,593,1556,893,50,86.5,63.54
2020-11-03,ORANGE,CS1,1570,COLES STORE,1752,171,340,776,465,1057,485,50,89.61,68.55
2020-11-03,ORANGE,CW,2451,CALDWELL,2887,302,503,1406,676,934,1477,50,84.9,38.74
2020-11-03,ORANGE,CX,4750,CHEEKS,5860,650,1453,2583,1174,2580,2072,50,81.06,55.46
2020-11-03,ORANGE,DA,2647,DOGWOOD ACRES,3214,511,802,1450,451,2293,312,56,82.36,88.02
2020-11-03,ORANGE,DM,1949,DAMASCUS,2789,590,1032,818,349,1654,252,56,69.88,86.78
2020-11-03,ORANGE,EA1,1799,EAST FRANKLIN,3108,1436,913,462,297,1550,215,56,57.88,87.82
2020-11-03,ORANGE,EF,1809,EFLAND,2138,250,436,935,517,865,912,50,84.61,48.68
2020-11-03,ORANGE,EH,1795,ESTES HILLS,2361,514,618,766,463,1562,204,56,76.03,88.45
2020-11-03,ORANGE,ENO,2014,ENO,2496,326,495,1094,581,1098,896,50,80.69,55.07
2020-11-03,ORANGE,ES,1538,EASTSIDE,1901,227,566,686,422,1285,223,56,80.9,85.21
2020-11-03,ORANGE,GB,3877,GRADY BROWN,4832,602,1421,2021,788,2689,1107,50,80.24,70.84
2020-11-03,ORANGE,GL,1996,GLENWOOD,2588,394,757,940,497,1614,360,56,77.13,81.76
2020-11-03,ORANGE,H,1274,HILLSBOROUGH,1456,120,318,554,464,1086,168,50,87.5,86.6
2020-11-03,ORANGE,HE,1395,HILLSBOROUGH EAST,1689,158,419,643,469,919,442,50,82.59,67.52
2020-11-03,ORANGE,HF,2501,HOGAN FARMS,2962,491,546,1570,355,2092,371,56,84.44,84.94
2020-11-03,ORANGE,KM,1896,KINGS MILL,2225,277,526,895,527,1567,291,56,85.21,84.34
2020-11-03,ORANGE,LC,1958,LIONS CLUB,2901,493,1368,707,333,1732,175,56,67.49,90.82
2020-11-03,ORANGE,NC,2310,NORTH CARRBORO,2610,333,591,1280,406,2072,204,56,88.51,91.04
2020-11-03,ORANGE,NS,1788,NORTHSIDE,3329,1625,1026,425,253,1554,204,56,53.71,88.4
2020-11-03,ORANGE,OG,3106,ORANGE GROVE,3637,370,685,1710,872,1950,1104,50,85.4,63.85
2020-11-03,ORANGE,OW,2036,OWASA,3094,770,1450,652,222,1808,187,56,65.8,90.63
2020-11-03,ORANGE,PA,2643,PATTERSON,3114,358,566,1269,921,1935,668,50,84.87,74.34
2020-11-03,ORANGE,RE,2973,ROGER EUBANKS,3601,732,878,1581,410,2366,548,50,82.56,81.19
2020-11-03,ORANGE,RF,1675,RIDGEFIELD,2216,318,773,724,401,1370,260,56,75.59,84.05
2020-11-03,ORANGE,SJ,2551,ST JOHN,2987,384,569,1315,719,2120,397,50,85.4,84.23
2020-11-03,ORANGE,SM,2202,ST MARYS,2513,241,421,1168,683,1156,1007,50,87.62,53.44
2020-11-03,ORANGE,TH,1705,TOWN HALL,2339,433,971,709,226,1576,102,56,72.89,93.92
2020-11-03,ORANGE,TO,1270,TOLARS,1502,153,303,643,403,620,624,50,84.55,49.84
2020-11-03,ORANGE,UNC,2242,UNC,5983,2935,2114,605,329,1934,264,56,37.47,87.99
2020-11-03,ORANGE,WC,1578,WHITE CROSS,1917,183,429,838,467,995,553,50,82.32,64.28
2020-11-03,ORANGE,WD,2359,WEAVER DAIRY,3116,536,906,1100,574,2002,306,56,75.71,86.74
2020-11-03,ORANGE,WDS,454,WEAVER DAIRY SAT,488,0,1,7,480,425,24,56,93.03,94.65
2020-11-03,ORANGE,WH,1744,WEST HILLSBOROUGH,2272,275,663,872,462,1279,433,50,76.76,74.71
2020-11-03,ORANGE,WW1,2176,WESTWOOD,3558,1323,1257,637,341,1944,185,56,61.16,91.31
2022-11-08,CASWELL,ANDE,499,ANDERSON,846,92,148,395,211,110,368,50,58.98,23.01
2022-11-08,CASWELL,LEAS,365,LEASBURG,653,69,114,249,221,141,203,50,55.9,40.99
2022-11-08,CASWELL,LOCU,1078,LOCUST HILL,1953,211,348,829,565,544,483,50,55.2,52.97
2022-11-08,CASWELL,MILT,1070,MILTON,1995,203,369,808,615,529,481,50,53.63,52.38
2022-11-08,CASWELL,PELH,1585,PELHAM,2943,311,513,1223,896,442,1059,50,53.86,29.45
2022-11-08,CASWELL,PH,1086,PROSPECT HILL,1803,174,349,757,523,368,689,50,60.23,34.82
2022-11-08,CASWELL,PROVI,528,PROVIDENCE,802,73,123,340,266,169,305,50,65.84,35.65
2022-11-08,CASWELL,STON,1178,STONEY CREEK,2249,240,459,1005,545,349,791,50,52.38,30.61
2022-11-08,CASWELL,YANC,1027,YANCEYVILLE,2160,202,463,824,671,479,488,50,47.55,49.53
2022-11-08,ORANGE,CA,711,CARR,1164,125,267,527,245,330,361,50,61.08,47.76
2022-11-08,ORANGE,CB1,2018,CARRBORO,3611,506,1429,1147,529,1844,132,56,55.88,93.32
2022-11-08,ORANGE,CF1,2789,CEDAR FALLS,4925,869,1517,1719,820,2298,425,56,56.63,84.39
2022-11-08,ORANGE,CG,1107,CEDAR GROVE,1676,186,323,755,412,583,496,50,66.05,54.03
2022-11-08,ORANGE,CH,951,COKER HILLS,1380,196,340,542,302,860,75,56,68.91,91.98
2022-11-08,ORANGE,CO,1686,COLONIAL HEIGHTS,2937,640,852,942,503,1493,163,56,57.41,90.16
2022-11-08,ORANGE,CS1,1313,COLES STORE,1758,183,325,746,504,905,382,50,74.69,70.32
2022-11-08,ORANGE,CW,1918,CALDWELL,2944,298,516,1342,788,738,1138,50,65.15,39.34
2022-11-08,ORANGE,CX,3395,CHEEKS,6141,670,1504,2656,1311,1949,1351,50,55.28,59.06
2022-11-08,ORANGE,DA,2206,DOGWOOD ACRES,3195,520,734,1427,514,1946,228,56,69.05,89.51
2022-11-08,ORANGE,DM,1432,DAMASCUS,2726,521,1028,798,379,1250,158,56,52.53,88.78
2022-11-08,ORANGE,EA1,1177,EAST FRANKLIN,2735,1112,847,456,320,1041,114,56,43.03,90.13
2022-11-08,ORANGE,EF,1377,EFLAND,2153,250,434,900,569,682,661,50,63.96,50.78
2022-11-08,ORANGE,EH,1559,ESTES HILLS,2468,460,638,757,613,1367,158,56,63.17,89.64
2022-11-08,ORANGE,ENO,1522,ENO,2521,348,527,1015,631,860,628,50,60.37,57.8
2022-11-08,ORANGE,ES,1267,EASTSIDE,2072,285,604,736,447,1071,162,56,61.15,86.86
2022-11-08,ORANGE,GB,2847,GRADY BROWN,4907,619,1408,1995,885,2047,735,50,58.02,73.58
2022-11-08,ORANGE,GL,1558,GLENWOOD,2515,380,696,923,516,1269,258,56,61.95,83.1
2022-11-08,ORANGE,H,1089,HILLSBOROUGH,1472,118,302,549,503,943,132,50,73.98,87.72
2022-11-08,ORANGE,HE,1261,HILLSBOROUGH EAST,1913,178,495,731,509,902,325,50,65.92,73.51
2022-11-08,ORANGE,HF,2029,HOGAN FARMS,3061,539,552,1576,394,1713,285,56,66.29,85.74
2022-11-08,ORANGE,HN,2035,HILLSBOROUGH NORTH,2902,365,518,1392,627,1306,679,50,70.12,65.79
2022-11-08,ORANGE,KM,1575,KINGS MILL,2193,270,494,871,558,1326,219,56,71.82,85.83
2022-11-08,ORANGE,NC,2033,NORTH CARRBORO,2598,344,525,1246,483,1849,159,56,78.25,92.08
2022-11-08,ORANGE,NS,1097,NORTHSIDE,3003,1318,1021,414,250,989,81,56,36.53,92.43
2022-11-08,ORANGE,OG,2424,ORANGE GROVE,3608,357,677,1579,995,1616,760,50,67.18,68.01
2022-11-08,ORANGE,OW1,1718,OWASA,3577,729,1768,796,284,1574,95,56,48.03,94.31
2022-11-08,ORANGE,PA,2212,PATTERSON,3144,386,558,1210,990,1673,508,50,70.36,76.71
2022-11-08,ORANGE,RE,2261,ROGER EUBANKS,3768,727,969,1589,483,1869,345,56,60.01,84.42
2022-11-08,ORANGE,RF,1422,RIDGEFIELD,2336,361,804,759,412,1192,206,56,60.87,85.26
2022-11-08,ORANGE,SJ,2110,ST JOHN,2999,391,563,1285,760,1768,307,50,70.36,85.2
2022-11-08,ORANGE,SM,1826,ST MARYS,2550,253,395,1136,766,997,799,50,71.61,55.51
2022-11-08,ORANGE,TH1,1357,TOWN HALL,2262,361,911,708,282,1269,64,56,59.99,95.2
2022-11-08,ORANGE,TO,951,TOLARS,1479,135,304,607,433,494,429,50,64.3,53.52
2022-11-08,ORANGE,UNC,2266,UNC,5648,3141,1606,578,323,2003,215,56,40.12,90.31
2022-11-08,ORANGE,WC,1197,WHITE CROSS,1921,199,428,799,495,793,384,50,62.31,67.37
2022-11-08,ORANGE,WD,1875,WEAVER DAIRY,3073,468,902,1082,621,1614,235,56,61.02,87.29
2022-11-08,ORANGE,WDS,434,WEAVER DAIRY SAT,477,0,1,6,470,404,20,56,90.99,95.28
2022-11-08,ORANGE,WH,1220,WEST HILLSBOROUGH,2248,248,653,850,497,946,243,50,54.27,79.56
2022-11-08,ORANGE,WW1,1476,WESTWOOD,3342,1078,1290,639,335,1358,97,56,44.17,93.33
2024-11-05,CASWELL,ANDE,765,ANDERSON,903,113,166,390,234,177,541,50,84.72,24.65
2024-11-05,CASWELL,LEAS,494,LEASBURG,658,69,111,267,211,210,268,50,75.08,43.93
2024-11-05,CASWELL,LOCU,1631,LOCUST HILL,2065,236,383,837,609,796,779,50,78.98,50.54
2024-11-05,CASWELL,MILT,1535,MILTON,1988,193,383,760,652,774,686,50,77.21,53.01
2024-11-05,CASWELL,PELH,2336,PELHAM,3069,349,543,1250,927,607,1655,50,76.12,26.83
2024-11-05,CASWELL,PH,1518,PROSPECT HILL,1827,186,352,728,561,460,1011,50,83.09,31.27
2024-11-05,CASWELL,PROVI,659,PROVIDENCE,804,73,137,307,287,215,408,50,81.97,34.51
2024-11-05,CASWELL,STON,1878,STONEY CREEK,2350,252,519,995,584,502,1314,50,79.91,27.64
2024-11-05,CASWELL,YANC,1627,YANCEYVILLE,2207,221,435,852,699,752,783,50,73.72,48.99
2024-11-05,ORANGE,CA,998,CARR,1227,145,261,556,265,441,533,50,81.34,45.28
2024-11-05,ORANGE,CB1,2568,CARRBORO,3677,573,1385,1154,565,2275,224,56,69.84,91.04
2024-11-05,ORANGE,CF1,3634,CEDAR FALLS,5021,885,1531,1736,869,2939,591,56,72.38,83.26
2024-11-05,ORANGE,CG,1444,CEDAR GROVE,1739,180,341,741,477,712,712,50,83.04,50.0
2024-11-05,ORANGE,CH,1104,COKER HILLS,1375,195,339,534,307,995,84,56,80.29,92.22
2024-11-05,ORANGE,CO,2153,COLONIAL HEIGHTS,3001,657,889,923,532,1832,243,56,71.74,88.29
2024-11-05,ORANGE,CS1,1591,COLES STORE,1818,196,316,723,583,1084,475,50,87.51,69.53
2024-11-05,ORANGE,CW,2599,CALDWELL,3042,322,582,1287,851,993,1566,50,85.44,38.8
2024-11-05,ORANGE,CX,5571,CHEEKS,6969,782,1813,2865,1509,3135,2318,50,79.94,57.49
2024-11-05,ORANGE,DA,2660,DOGWOOD ACRES,3268,514,778,1406,570,2296,326,56,81.4,87.57
2024-11-05,ORANGE,DM,1848,DAMASCUS,2723,500,1015,787,421,1569,229,56,67.87,87.26
2024-11-05,ORANGE,EA1,1732,EAST FRANKLIN,2874,1190,895,456,333,1434,253,56,60.26,85.0
2024-11-05,ORANGE,EF,1887,EFLAND,2269,286,481,888,614,930,926,50,83.16,50.11
2024-11-05,ORANGE,EH,1881,ESTES HILLS,2536,469,680,767,620,1621,211,56,74.17,88.48
2024-11-05,ORANGE,ENO,2011,ENO,2572,386,524,993,669,1151,823,50,78.19,58.31
2024-11-05,ORANGE,ES,1642,EASTSIDE,2187,311,670,721,485,1356,244,56,75.08,84.75
2024-11-05,ORANGE,GB,3849,GRADY BROWN,5070,688,1435,1940,1007,2706,1054,50,75.92,71.97
2024-11-05,ORANGE,GL,2041,GLENWOOD,2687,490,697,923,577,1625,369,56,75.96,81.49
2024-11-05,ORANGE,H,1267,HILLSBOROUGH,1486,128,269,556,533,1083,159,50,85.26,87.2
2024-11-05,ORANGE,HE,1784,HILLSBOROUGH EAST,2167,186,610,848,523,1252,483,50,82.33,72.16
2024-11-05,ORANGE,HF,2583,HOGAN FARMS,3160,567,576,1577,440,2146,380,56,81.74,84.96
2024-11-05,ORANGE,HN,2488,HILLSBOROUGH NORTH,2903,361,520,1336,686,1616,830,50,85.7,66.07
2024-11-05,ORANGE,KM,1871,KINGS MILL,2277,269,523,883,602,1568,266,56,82.17,85.5
2024-11-05,ORANGE,NC,2313,NORTH CARRBORO,2638,362,479,1265,532,2089,185,56,87.68,91.86
2024-11-05,ORANGE,NS,1684,NORTHSIDE,3111,1415,1054,383,259,1357,282,56,54.13,82.79
2024-11-05,ORANGE,OG,3124,ORANGE GROVE,3697,362,704,1534,1097,1938,1124,50,84.5,63.29
2024-11-05,ORANGE,OW1,2319,OWASA,3657,820,1738,771,328,2037,194,56,63.41,91.3
2024-11-05,ORANGE,PA,2704,PATTERSON,3238,383,566,1230,1059,1968,674,50,83.51,74.49
2024-11-05,ORANGE,RE,2994,ROGER EUBANKS,3967,736,1100,1608,523,2396,516,56,75.47,82.28
2024-11-05,ORANGE,RF,1955,RIDGEFIELD,2592,466,928,774,424,1585,317,56,75.42,83.33
2024-11-05,ORANGE,SJ,2552,ST JOHN,3073,373,591,1274,835,2101,405,56,83.05,83.84
2024-11-05,ORANGE,SM,2301,ST MARYS,2689,287,431,1118,853,1255,998,50,85.57,55.7
2024-11-05,ORANGE,TH1,1663,TOWN HALL,2333,388,866,769,310,1530,96,56,71.28,94.1
2024-11-05,ORANGE,TO,1251,TOLARS,1503,146,296,617,444,621,607,50,83.23,50.57
2024-11-05,ORANGE,UNC,4223,UNC,6015,3950,1168,560,337,3497,637,56,70.21,84.59
2024-11-05,ORANGE,WC,1518,WHITE CROSS,1905,207,405,756,537,981,511,50,79.69,65.75
2024-11-05,ORANGE,WD,2259,WEAVER DAIRY,3028,475,895,1011,647,1878,319,50,74.6,85.48
